,種類,地区名,取引価格（総額）,坪単価,面積（㎡）,取引価格（㎡単価）,建築年,取引時築年数,西暦築年,取引年
4815,中古マンション等,佃,110000000.0,4270588.0,85.0,1294117.0,平成11年,16.0,1999.0,2015.0
4814,中古マンション等,佃,44000000.0,2639999.0,55.0,800000.0,平成13年,14.0,2001.0,2015.0
4797,中古マンション等,佃,73000000.0,3211999.0,75.0,973333.0,平成16年,11.0,2004.0,2015.0
4813,中古マンション等,佃,57000000.0,2893846.0,65.0,876923.0,平成16年,11.0,2004.0,2015.0
4811,中古マンション等,佃,120000000.0,3443478.0,115.0,1043478.0,平成17年,10.0,2005.0,2015.0
4810,中古マンション等,佃,22000000.0,3630000.0,20.0,1100000.0,平成18年,9.0,2006.0,2015.0
4809,中古マンション等,佃,46000000.0,2759999.0,55.0,836363.0,平成3年,24.0,1991.0,2015.0
4808,中古マンション等,佃,11000000.0,1451999.0,25.0,440000.0,昭和48年,42.0,1973.0,2015.0
4807,中古マンション等,佃,25000000.0,4125000.0,20.0,1250000.0,平成16年,11.0,2004.0,2015.0
4806,中古マンション等,佃,19000000.0,3135000.0,20.0,950000.0,平成16年,11.0,2004.0,2015.0
4805,中古マンション等,佃,38000000.0,3135000.0,40.0,950000.0,平成23年,4.0,2011.0,2015.0
4804,中古マンション等,佃,120000000.0,4950000.0,80.0,1500000.0,平成11年,16.0,1999.0,2015.0
